Robin	large image	0012_003912_000060	[Girl standing in a garden with a hoe]		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	A young girl standing in a garden holding a hoe.  No captions.	1 photograph, black and white, 10.5 x 9 cm.			zxx	University of Tennessee, Knoxville. Libraries	 	 									Girls	lctgm	Vegetables	lctgm	Gardens	lctgm	Hoes	lcsh	Vegetable gardening	lcsh	Home demonstration work	lcsh	Girls -- Societies and clubs	lcsh										
Robin	large image	0012_003912_000061	LAWRENCE COUNTY, TENNESSEE, TOMATO CLUB	A 	In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Title from front caption. Back caption (handwritten in ink), "Tomato Club girls of Laurence County. Return to Virginia P. Moore, State Capitol, Nashville, Tenn." Bears (stamped) Miss Virginia P. Moore State Agent Girls' C & P. Co. State Capitol NASHVILLE, TENN.	1 photograph, black and white, 20.5 x 25.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Lawrence County (Tenn.)	naf									Girls	lctgm	Tomatoes	lctgm	Canning & preserving	lctgm	Tomatoes	lcsh	Canning and preserving	lcsh	Girls -- Societies and clubs	lcsh	Home demonstration work	lcsh										
Robin	large image	0012_003912_000062	Part of Bradley Co. Corn Club taken at Mineral Park, July 10, 1912. 		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	1912	July 10, 1912		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Title from the back caption (handwritten in ink on the back of a postcard). 	1 photograph, black and white, 8.5 x 13.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Bradley County (Tenn.)	naf	Mineral Park (Tenn.)								Boys 	lctgm	Clubs	lctgm	Corns	lcsh	Boys -- Societies and clubs	lcsh	Home demonstration work	lcsh														
Robin	large image	0012_003912_000063	[portrait photograph of Virginia P. Moore]	A	In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Thuss	Photographer	 	personal					University of Tennessee, Knoxville. Special Collections	Front caption (engraved on picture matting), "Thuss, Nashville." Back caption (handwritten in ink), "Return to Virginia Pearl Moore, Gallatin, Tennessee." A portrait  photograph of Virginia P. Moore as a young woman with a sitting post. 	1 photograph, black and white, 27 x 18 cm.			eng	University of Tennessee, Knoxville. Libraries	Gallatin (Tenn.)	naf	Tennessee	naf			Moore, Virginia P. (Virginia Pearl)	naf			Women	lctgm	Portrait photographs	lctgm	Home demonstration work -- History	lcsh	Home economics extension workers	lcsh																
Robin	large image	0012_003912_000064	[portrait photograph of Virginia P. Moore wearing the dress, and lace worn by Queen Victoria at one time]	A	In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	unknown	Photographer							University of Tennessee, Knoxville. Special Collections	Title from the back caption (handwritten in blue ink), "Virginia P. Moore wearing the dress, and lace worn by Queen Victoria at one time." A portrait of the elder Virginia P. Moore. 	1 photograph, black and white, 25 x 20 cm.			eng	University of Tennessee, Knoxville. Libraries							Moore, Virginia P. (Virginia Pearl)	naf	Victoria, Queen of Great Britain, 1819-1901 -- Clothing	naf	Women	lctgm	Portrait photographs	lctgm	Lace	lctgm	Clothing & dress	lctgm	Clothing and dress	lcsh	Lace and lace making	lcsh	Home demonstration work -- History	lcsh	Home economics extension workers	lcsh								
Robin	large image	0012_003912_000065	"Tee" and Thomas A. Edison.		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	unknown	Photographer							University of Tennessee, Knoxville. Special Collections	Title from the back caption (handwritten). A photo of "Tee" (Virginia P. Moore's nickname) with Thomas Alva Edison, the famous American inventor. 	1 photograph, black and white, 20 x 25 cm.			eng	University of Tennessee, Knoxville. Libraries							Moore, Virginia P. (Virginia Pearl)	naf	Edison, Thomas A. (Thomas Alva), 1847-1931	naf	Women	lctgm	Men	lctgm	Portrait photographs	lctgm	Beehives	lctgm	Home demonstration work -- History	lcsh	Home economics extension workers	lcsh												
Helen	large image	0012_003912_000066	[Virginia P. Moore and Mrs. Thomas Alva Edison with an unnamed lady and a gentleman, possibly in Fort Myers, Florida.]		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	unknown	Photographer							University of Tennessee, Knoxville. Special Collections	Photograph of Virginia P. Moore and Mrs. Thomas Alva Edison with an unnamed lady and a gentleman, possibly in Fort Myers, Florida. Photo mounted on paper and affixed to a stationary from Hotel Inverness, Inverness, Florida. Front caption (handwritten in ink), "Mrs. Thom. A. Edison greeted us in the lawn, she had just alighted from the 1914 Ford, a gift from Henry Ford which is stilled[sic] used to run around Ft. Myers. It is known in Ft. Myers as Lizzie Ford."	1 photograph, black and white, 24 x 16.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Fort Myers (Fla.)	naf					Moore, Virginia P. (Virginia Pearl)	naf	Edison, Mina Miller, 1865-1947	naf	Women	lctgm	Men	lctgm	Home demonstration work -- History	lcsh	Home economics extension workers	lcsh																
Helen	large image	0012_003912_000067	Virginia P. Moore (probably about 1910)		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	1910	circa 1910	inferred	photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	unknown	Photographer							University of Tennessee, Knoxville. Special Collections	Portrait photograph of Virginia P. Moore as a young woman wearing an ornate dress and a hat. A photo taken of her back and one side of the dress, mounted on paper with back caption (handwritten in ink), "Virginia P. Moore (probably about 1910)."	1 photograph, black and white, 25 x 20 cm.			eng	University of Tennessee, Knoxville. Libraries							Moore, Virginia P. (Virginia Pearl)	naf			Women	lctgm	Dresses	lctgm	Portrait photographs	lctgm	Hats	lctgm	Home demonstration work -- History	lcsh	Home economics extension workers	lcsh												
Helen	large image	0012_003912_000068	[Mrs. Thomas Alva Edison points out and explains many interesting trees to Virginia P. Moore and another woman.] 		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	unknown	Photographer							University of Tennessee, Knoxville. Special Collections	Photograph of Mrs. Edison, Virginia P. Moore and another lady, possibly in Fort Myers, Florida, mounted on hotel stationary with back inscription: Hotel Inverness, Inverness, Florida. Front caption (handwritten in ink), "Mrs. Edison showed us over the beautiful lawn pointing out and explaining many interesting trees. She was ... " (the remainder of text torn off from the bottom of page). Devised title from front caption. 	1 photograph, black and white, 14.5 x 16.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Fort Myers (Fla.)	naf					Moore, Virginia P. (Virginia Pearl)	naf	Edison, Mina Miller, 1865-1947	naf	Women	lctgm	Trees	lctgm	Home demonstration work -- History	lcsh	Home economics extension workers	lcsh																
Helen	large image	0012_003912_000069	Thomas Edison		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Photograph of Thomas A. Edison and another gentleman inspecting a young ornamental tree. Photo mounted on hotel stationary with inscription on back: Hotel Inverness, Inverness, Florida.	1 photograph, black and white, 12 x 16.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Fort Myers (Fla.)	naf	United States	naf			Edison, Thomas A. (Thomas Alva), 1847-1931	naf			Men	lctgm	Trees	lctgm	Inventors	lctgm	Inventors	lcsh																
Helen	large image	0012_003912_000070	[Virginia P. Moore and other Tennessee delegates at a White House Conference]		Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/					still image	1917?	circa 1917	questionable	photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	unknown	Photographer							University of Tennessee, Knoxville. Special Collections	Devised title. Photograph of Virginia P. Moore with another lady and a young gentleman holding Tennessee banners and standing in front of the White House in Washington,  D.C. Mounted on a postcard with back caption (handwritten in ink), "V.P. Moore (on left) - White House Conference." 	1 photograph, black and white, 8.5 x 13.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Washington (D.C.)	naf	Tennessee	naf			Moore, Virginia P. (Virginia Pearl)	naf			Women	lctgm	Men	lctgm	Banners	lctgm	Meetings	lctgm	White House (Washington, D.C.) -- Congresses	lcsh	Home economics extension workers	lcsh												
Helen	large image	0012_003912_000071	[Photograph of one man standing outdoors posting for photograph with four young women in their canning club uniforms]		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Sauer	Photographer		personal					University of Tennessee, Knoxville. Special Collections	Photograph of a man in a suit and a tie with four young women in their canning club uniforms. Location unknown. Stamp in lower right corner, "Photo by Sauer."  Left upper and lower corners missing. Photo verso has advertisement and stamp of the Sauer Studio, Paris, Tenn. 	1 photograph, black and white, 17 x 12 cm.			eng	University of Tennessee, Knoxville. Libraries	Tennessee	naf									Women	lctgm	Men	lctgm	Clubs	lctgm	Uniforms	lctgm	Canning and preserving	lcsh	Girls -- Societies and clubs	lcsh												
Helen	large image	0012_003912_000072	[Portrait photograph of Mrs. J.B. Lauderbach, County Collaborator.] 		Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/					still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	unknown	Photographer							University of Tennessee, Knoxville. Special Collections	Portrait photograph of a woman in a white lace dress taken from her left-hand side. Back caption (handwritten in pencil), "Please return. Mrs. J.B. Lauderbach. The Ferger Chattanooga Tenn. Mrs. J.B. Lauderbach, County Collaborator, whose untiring efforts have added much to the Girls' C & P Club work. Please return to Miss V.P. Moore, State Capitol." Devised title. 	1 photograph, black and white, 17.5 x 11.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Chattanooga (Tenn.)	naf					Lauderbach, J.B., Mrs.				Women	lctgm	Portrait photographs	lctgm	Girls -- Societies and clubs	lcsh	Home economics extension workers	lcsh																
Helen	large image	0012_003912_000073	First auto[mobile] owned by a Tenn[essean] ag[en]t, Mrs. Elizabeth Lauderbach, Hamilton Co[unty], Tenn[essee], 1911.		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	1911			photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Photograph of a woman with a hat in a car parked near a city curb. Title from back caption.  	1 photograph, black and white, 13 x 17.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Hamilton County (Tenn.)	naf					Lauderbach, Elizabeth.				Women	lctgm	Automobiles -- 1910-1920	lctgm	Home economics extension workers	lcsh																		
Helen	large image	0012_003912_000074	[Photograph of a home demonstration agent sitting behind the wheel with six girls in an automobile.]		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Photograph of a woman, possibly a home demonstration agent, behind the wheel of an automobile with six young girls accompanying her in a country setting. The number 14481 is shown on the car's front grill. No front caption. Crease in photograph right bottom corner. Back caption, "4. Tenn. (Unnumbered)." Devised title.	1 photograph, black and white, 12.5 x 18 cm.			eng	University of Tennessee, Knoxville. Libraries	Tennessee	naf									Women	lctgm	Girls	lctgm	Automobiles	lctgm	Home economics extension workers	lcsh	Girls -- Societies and clubs	lcsh														
Helen	large image	0012_003912_000075	[Group photograph of a boys' corn club.]		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Matted photograph of a boy's corn club comprised of forty-one boys in uniforms and one adult male in a reclining position in front of a large wood pile under trees. One young boy is holding a large ear of shucked corn. The man and several boys appear to have medals pinned to jackets. Large two-story buildings appear in the background. No caption information. Devised title. 	1 photograph, black and white, 20 x 25 cm.			zxx	University of Tennessee, Knoxville. Libraries											Boys 	lctgm	Men	lctgm	Corn	lctgm	4-H clubs	lctgm	Boys -- Societies and clubs	lcsh	Corn	lcsh	4-H clubs	lcsh	Agricultural education -- Societies, etc.	lcsh								
Helen	large image	0012_003912_000076	Annual Conference [of] State Ag[en]ts, Washington, [D.C.], Nov[ember] 1917.		Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/					still image	1917	Nov. 1917		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	unknown	Photographer							University of Tennessee, Knoxville. Special Collections	Group photograph of female home demonstration state agents with several men standing in front of a government's building in Washington, D.C., at the annual conference of home demonstration agents, November 1917. Virginia P. Moore stands in the front row, second from the right. Title from back caption.   	1 photograph, black and white, 16 x 21 cm.			eng	University of Tennessee, Knoxville. Libraries	Washington (D.C.)	naf	United States	naf			Moore, Virginia P. (Virginia Pearl)	naf			Women	lctgm	Men	lctgm	Government officials	lctgm	Meetings	lctgm	Government facilities	lctgm	Home demonstration work -- Congresses	lcsh	Home economics extension workers -- Congresses	lcsh	United States Food Administration -- Officials and employees -- Congresses	lcsh								
Helen	large image	0012_003912_000077	[Group photograph of the twenty-fifth anniversary dinner celebration of home demonstration and agricultural extension work, Texas, circa 1928.]  		Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/					still image	1928?	circa 1928	inferred	photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Eidson Studio	Photographer		corporate					University of Tennessee, Knoxville. Special Collections	Group photograph of men and women assembled for a dinner, possibly, to celebrate the twenty-fifth anniversary of home demonstration and agricultural extension work originated in Texas in 1903 by the founder, Seaman Ashahel Knapp. Knapp's portrait is placed on the chair in the group portrait, with the numbers "1903-1928" depicted on the base of the cake in the photograph. Virginia P. Moore is seated second from the left of the cake. Back caption,  "Virginia P. Moore - Asst. State H.D. Agt. Florida  2nd from left of cake (1st row)  Eidson Studio 1014. 1/2 Capital St. Houston, Tex 75 cents." Devised title. 	1 photograph, black and white, 20 x 25 cm.			eng	University of Tennessee, Knoxville. Libraries	Texas	naf	United States	naf			Moore, Virginia P. (Virginia Pearl)	naf	Knapp, Seaman Ashahel, 1833-1911	naf	Women	lctgm	Men	lctgm	Anniversaries	lctgm	Dinner parties	lctgm	Home demonstration work -- Anniversaries	lcsh	Home economics extension workers -- Florida	lcsh												
Wanda	large image	0012_003912_000078	[Photograph portrait of Virginia P. Moore]		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	unknown	Photographer	 						University of Tennessee, Knoxville. Special Collections	Back caption title, handwritten in ink. Full-length photograph of Virginia P. Moore standing in front of a building with big Roman-style columns. She holds a rolled-up paper and a purse in her left hand. She wears a wide-brim hat and a duster with decorative buttons on the top and on the cuffs. 	1 photograph, black and white, 14.5 x 8.5 cm.			eng	University of Tennessee, Knoxville. Libraries	United States	naf					Moore, Virginia P. (Virginia Pearl)	naf			Women	lctgm	Home economics extension workers	lcsh																				
Wanda	large image	0012_003912_000079	[Virginia P. Moore's] study class in Tazewell (Tennessee) using "Foods & nutrition" as the textbook.		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Title from back caption. Back caption, handwritten in ink, "This is my study class Tazewell "Foods & nutrition" is our text Book P.V. M." Photograph of six women seated in chairs on a grass lawn next to a house with open textbooks in their hands.  	1 photograph, black and white, 7 x 9.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Tazewell (Tenn.)	naf					Moore, Virginia P. (Virginia Pearl)	naf			Women	lctgm	Students	lctgm	Books	lctgm	Food -- Study and teaching	lcsh	Nutrition -- Study and teaching	lcsh	Home economics -- Study and teaching	lcsh	Home economics -- Textbooks	lcsh	Women -- Education	lcsh								
Wanda	large image	0012_003912_000080	[Virginia P. Moore in] Florida.		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	unknown	Photographer							University of Tennessee, Knoxville. Special Collections	Title from back caption. Back caption, handwritten in black pencil, "Florida". Group photograph of Virginia P. Moore posing with three young women standing in front of a car. Moore is second from the right.  	1 photograph, black and white, 6.5 x 9 cm.			eng	University of Tennessee, Knoxville. Libraries	Florida	naf					Moore, Virginia P. (Virginia Pearl) -- Travel	naf			Women  	lctgm	Girls	lctgm	Automobiles	lctgm	Girls -- Societies and clubs	lcsh	Home economics extension workers -- Travel	lcsh														
Wanda	large image	0012_003912_000081	Group at Spring Sewing & child		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	1922		questionable	photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Title from front caption (handwritten in black ink). Back caption (handwritten in red pencil): "Lafayette Co 1922." Photograph has tears on the right edge and in the left margin. Depicts five girls standing at the doorsteps in front of a building; with two holding dresses on hangers and three holding cloth bags, products of their sewing group. A boy is seated in the center.	1 photograph, black and white, 5 x 7 cm.			eng	University of Tennessee, Knoxville. Libraries	Lafayette County (Fla.)	naf									Girls	lctgm	Boys	lctgm	Sewing	lctgm	Dresses	lctgm	Bags	lctgm	Sewing -- Study and teaching	lcsh	Home economics extension work	lcsh										
Wanda	large image	0012_003912_000082	Tomato Girls who were at Mineral Park July 10, 1912. Bradley, Co.		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	1912	July 10, 2012		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Title from back caption (handwritten in black ink). Photograph shows a group of tomato club girls seating, kneeling and standing in three rows, with smiles on their faces and all dressed in uniforms, except for one girl in a casual dress. Photo taken at Mineral Park, Bradley County, Tennessee on July 10, 1912.	1 photograph, black and white, 8.5 x 13.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Bradley County (Tenn.)	naf									Girls	lctgm	4-H clubs	lctgm	Parks	lctgm	Girls -- Societies and clubs	lcsh	Tomatoes	lcsh	4-H clubs	lcsh	Agricultural education -- Societies, etc.	lcsh										
Wanda	large image	0012_003912_000083	Karns High School Club - 1914 Netta Butler Canning in yard of President's home		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	1914			photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	unknown	Photographer							University of Tennessee, Knoxville. Special Collections	Title from back caption (handwritten in pencil). Photograph shows Virginia P. Moore (first on the left) with nine girls from Karns High School Club demonstrating processing and canning tomatoes in the yard of Netta Butler, the club's president's home. The girls demonstrate the use of canning tools, featuring the can seamer and pressure cooker by El Flo's Home Cannery Co., Hickory, N.C., a scale, cans, tomatoes' peeling and coring. On the grass are two full baskets of fresh tomatoes.	1 photograph, black and white, 20 x 25 cm.			eng	University of Tennessee, Knoxville. Libraries	Knoxville (Tenn.)	naf					Moore, Virginia P. (Virginia Pearl)	naf	Karns High School (Knoxville, Tenn.)		Girls	lctgm	Tomatoes	lctgm	Canning & preserving	lctgm	Girls -- Societies and clubs	lcsh	Canning and preserving -- Societies, etc.	lcsh	Tomatoes	lcsh	4-H clubs	lcsh	Agricultural education -- Societies, etc.	lcsh								
Wanda	large image	0012_003912_000084	[Virginia P. Moore seated in the center of a group photo with sixteen women, some holding rolled-up paper (certificates of some kind)].		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Wiles	Photographer		personal					University of Tennessee, Knoxville. Special Collections	Devised title. No information on the photo. Front lower right corner has the photographer's name, Wiles, handwritten in pencil. Photograph shows a group portrait of seventeen women. Virginia P. Moore is seated in the center of the first row, dressed in a formal dress with a laced collar and a hat.	1 photograph, black and white, 30.5 x 35.5 cm.			zxx	University of Tennessee, Knoxville. Libraries							Moore, Virginia P. (Virginia Pearl)	naf			Women	lctgm	Group portraits	lctgm	Home demonstration work -- History	lcsh																		
Wanda	large image	0012_003912_000085	CUMBERLAND COUNTY [HIGH SCHOOL, CROSSVILLE, TENN.] Exhibit.		Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/					still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	unknown	Photographer							University of Tennessee, Knoxville. Special Collections	Title from the photo. Back caption stamped in blue ink, "MRS. EMELIA B. COPE, County Home Demonstration Agent, CROSSVILLE, TENNESSEE." Photograph of an exhibit stand displaying farm produce, food preserves in glass jars, bread, handicrafts, blouses, dresses, baby clothing, rugs, and other home accessories (possibly from the sewing club); some with tags on the items. There is a banner for "Cumberland County High School, Crossville, Tenn." and a display of baby clothing, "MADE OF OLD HOSE," and a crest with inscription, "Save Your Gold. Buy Bonds. Carry Your Wheat to the Allies. Keep the Corn For Yourselves."	1 photograph, black and white, 30 x 35 cm.			eng	University of Tennessee, Knoxville. Libraries	Cumberland County (Tenn.)	naf	Crossville (Tenn.)	naf			Cumberland County High School (Tenn.)		Cope, Emelia B.		Farm produce	lctgm	Exhibitions	lctgm	Fairs	lctgm	Canning & preserving	lctgm	Handicraft	lctgm	Clothing & dress	lctgm	Home demonstration work -- Exhibitions	lcsh	4-H clubs -- Exhibitions	lcsh								
Wanda	large image	0012_003912_000086	County Ed[ucation] Rally, Hixson, Oct. 1, 1914		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	1914	October 1, 1914		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Back caption title, handwritten in (faded) ink. Photograph shows a large gathering of girls, boys, women and men for a rally in Hixson, Tennessee on October 1, 1914. Some carry banners displaying words such as, CENTRAL, DAISY, CANNING AND POULTRY CLUBS, HIXSON, DEMONSTRATOR, POULTRY CLUB, and SODDY SGS.	1 photograph, black and white, 30.5 x 35.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Hixson (Tenn.)	naf	Soddy-Daisy (Tenn.)	naf	Hamilton County (Tenn.)	naf					Girls	lctgm	Boys	lctgm	Clubs	lctgm	Demonstrations	lctgm	Women	lctgm	Men	lctgm	Canning and preserving -- Societies, etc.	lcsh	Poultry -- Societies, etc.	lcsh	Boys -- Societies and clubs	lcsh	Girls -- Societies and clubs	lcsh	Demonstrations	lcsh	Agricultural extension work	lcsh
Wanda	large image	0012_003912_000087	TWENTIETH CENTURY CLUB		Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/					still image	1926			photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	unknown	Photographer							University of Tennessee, Knoxville. Special Collections	Title from the photograph. Back caption (handwritten in blue ink), "V.P. Moore (white dress & hat) 3rd from left," and in pencil, "1926". Photograph shows Virginia P. Moore standing among a large group of women in front of the entrance of "Twentieth Century Club" building, possibly in Florida.	1 photograph, black and white, 29 x 34 cm.			eng	University of Tennessee, Knoxville. Libraries	Florida	naf					Twentieth Century Club	naf	Moore, Virginia P. (Virginia Pearl)	naf	Women	lctgm	Women -- Societies and clubs	lcsh																				
Wanda	large image	0012_003912_000088	New Mouse Creek School Building - BRADELY COUNTY-		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Front caption title (typewritten). No information on the back of the photo. Photograph depicts the New Mouse Creek School building in the early 20th century in Bradley County, Tennessee. The photo is mounted on a scrapbook page with tears on the page's corners.	1 photograph, black and white, 30.5 x 35.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Bradley County (Tenn.)	naf					Mouse Creek School				Rural schools	lctgm	Schools	lctgm	Buildings	lctgm	Rural schools	lcsh																
