JOY	large image	0012_003912_000018	Canning Dem[onstration] at Uni[versity] of Chattanooga 1911.		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl) 	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	1911	1911		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Back caption: Canning Demonstration at University of Chattanooga 1911.	1 photograph, black and white, 11 x 17 cm.			eng	University of Tennessee, Knoxville. Libraries	Chattanooga (Tenn.)	naf									Girls	lctgm	Canning & preserving	lctgm	Canning and preserving	lcsh	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh	Home demonstration work -- History	lcsh												
JOY	large image	0012_003912_000019	Canning Dem. & Contest at State Fair 1912.		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl) 	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	1912			photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Wiles	Photographer 	naf	personal					University of Tennessee, Knoxville. Special Collections	Back caption. Canning Demonstration and Contest at State Fair 1912.  Also handwritten in pencil: "Fla. 1 (Tenn. picture)". 	1 photograph, black and white, 13 x 18 cm.			eng	University of Tennessee, Knoxville. Libraries	Tennessee	naf	Nashville (Tenn.)	naf							Girls	lctgm	Canning & preserving	lctgm	Canning and preserving	lcsh	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh														
JOY	large image	0012_003912_000020	Big Sand[y] Benton Co. Tenn - a Tomatoes Club Demonstration. 		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl) 	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Back caption. Big Sandy, Benton County, Tennessee - a Tomatoes Club Demonstration. Back corner, handwritten in pencil: "Tenn. 1"	1 photograph, black and white, 13 x 18 cm.			eng	University of Tennessee, Knoxville. Libraries	Big Sandy (Tenn.)	naf									Girls	lctgm	Tomatoes	lctgm	Canning & preserving	lctgm	Tomatoes	lcsh	Canning and preserving	lcsh	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh										
Laura	large image	0012_003912_000021	Sealing Contest Tenn State Fair		Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/					still image	1912			photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Wiles	Photographer		personal					University of Tennessee, Knoxville. Special Collections	Back caption handwritten in pen reads "Sealing Contest Tenn State Fair 19[1]2." A separate caption handwritten in pencil reads "V. P. Moore 1st on right." Handwritten in pencil in the upper righthand corner is "Fla. 2 (Tennessee picture)"	1 photograph, black and white, 13 x 18 cm.			eng	University of Tennessee, Knoxville. Libraries	Nashville (Tenn.)	naf					Moore, Virginia P. (Virginia Pearl)	naf			Girls	lctgm	Canning & preserving	lctgm	Fairs	lctgm	Canning and preserving	lcsh																
Laura	large image	0012_003912_000022	Canning Demonstration at the Summer School of the South Uni[versity] of Tenn[essee] Knoxville		Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/					still image	1912			photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	unknown	Photographer							University of Tennessee, Knoxville. Special Collections	Back caption handwritten in pen reads "Canning Demonstration at the Summer School of the South Uni. of Tenn. Knoxville 1912." Also handwritten in the upper righthand corner is "Tenn. 2." Virginia P. Moore stands to the right of the demonstration table dressed in white.	1 photograph, black and white, 13 x 18 cm.			eng	University of Tennessee, Knoxville. Libraries	Knoxville (Tenn.)	naf					Moore, Virginia P. (Virginia Pearl)	naf			Women 	lctgm	Men	lctgm	Canning & preserving	lctgm	Canning and preserving	lcsh	Agricultural education -- Societies, etc.	lcsh														
Laura	large image	0012_003912_000023	Parks Canning Club Fayette County		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl) 	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	191u	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Front caption title.  With '4 H' embroidered on the tablecloth under the canned produce. Back caption handwritten in pen reads "Won silver [illegible] cup"	1 photograph, black and white, 9.5 x 9.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Fayette County (Tenn.)	naf									Girls	lctgm	Canning & preserving	lctgm	Farm produce	lctgm	Canning and preserving	lcsh	4-H clubs	lcsh	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh										
Laura	large image	0012_003912_000024	community canner.	A 	In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl) 	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	1912			photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Back caption handwritten in pen reads "A community canner. 1912." Handwritten along the bottom of the back of the photograph in "Return to Va P. Moore Tallahassee Fla."	1 photograph, black and white, 8 x 10.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Tennessee	naf									Girls	lctgm	Canning & preserving	lctgm	Canning and preserving	lcsh	Agricultural education -- Societies, etc.	lcsh																
Laura	large image	0012_003912_000025	[Williamson County club girl]		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl) 	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	1910	circa 1910	approximate	photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Handwritten in pencil on the back is "Williamson Co. 1910." Additional back caption handwritten in pen reads "notice scales of club girl."	1 photograph, black and white, 8 x 8.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Williamson County (Tenn.)	naf									Scales -- 1910	lctgm	Girls	lctgm	Canning & preserving	lctgm	Canning and preserving	lcsh																
Laura	large image	0012_003912_000026	Glenn Jones gathering her first half bushel of beans.		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl) 	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	Back caption handwritten in ink reads "Glenn Jones gathering her first half bushel of beans."	1 photograph, black and white, 10.5 x 7 cm.			eng	University of Tennessee, Knoxville. Libraries	Southern States	naf									Girls	lctgm	Beans	lctgm	Farm produce	lctgm	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh														
Laura	large image	0012_003912_000027	[Two club girls and Virginia P. Moore working in a garden plot]		Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/					still image	19uu	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	unknown	Photographer							University of Tennessee, Knoxville. Special Collections	Virginia P. Moore, center, and two club girls worked in a garden plot. No captions or information present on the photograph. Devised title. 	1 photograph, black and white, 8 x 8.5 cm.				University of Tennessee, Knoxville. Libraries	Southern States	naf					Moore, Virginia P. (Virginia Pearl)	naf			Girls	lctgm	Gardening	lctgm	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh																
Laura	large image	0012_003912_000028	[An African-American club girl picking cotton in her garden plot]		Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/					still image	191u	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	unknown	Photographer							University of Tennessee, Knoxville. Special Collections	A photo of an African American club girl picking cotton. Devised title. Back caption handwritten in ink reads "This cotton bordered my 1/10 acre gardn on sides and sunflowers on end. I picked 15# of cotton from these two rows. J.E.C. Greenwood Club, Lebanon, Tenn." Also handwritten in pencil is "Wilson Co."	1 photograph, black and white, 7 x 11.5 cm.			eng	University of Tennessee, Knoxville. Libraries	Wilson County (Tenn.)	naf	Lebanon (Tenn.)	naf							Girls	lctgm	Cotton	lctgm	Gardening	lctgm	African American girls	lcsh	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh												
Laura	large image	0012_003912_000029	[Room of canned produce]		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl) 	naf	http://id.loc.gov/authorities/names/no00073285	personal	still image	191u	unknown		photographs	http://vocab.getty.edu/aat/300046300	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Photographer	naf	personal					University of Tennessee, Knoxville. Special Collections	No front caption. Devised title. Back caption handwritten in pencil reads "Mrs. Swanson Ducktown"	1 photograph, black and white, 9 x 14 cm.			eng	University of Tennessee, Knoxville. Libraries	Ducktown (Polk County, Tenn.)	naf									Canning & preserving	lctgm	Farm produce	lctgm	Canning and preserving	lcsh																		
